ID; Date; Points
39; 2025-02-27 09:02:29; 2
39; 2025-02-27 09:02:34; 1
39; 2025-02-27 09:02:37; 2
39; 2025-02-27 09:02:42; 2
39; 2025-02-27 09:02:50; 1
39; 2025-02-27 09:02:53; 1
39; 2025-02-27 09:02:57; 4
39; 2025-02-27 09:03:05; 2
39; 2025-02-27 09:03:08; 1
39; 2025-02-27 09:03:11; 1
39; 2025-02-27 09:03:15; 1
39; 2025-02-27 09:03:16; 1
39; 2025-02-27 09:03:22; 5
39; 2025-02-27 09:03:25; 4
39; 2025-02-27 09:03:29; 3
39; 2025-02-27 09:03:36; 1
39; 2025-02-27 09:03:38; 1
39; 2025-02-27 09:03:43; 1
39; 2025-02-27 09:03:57; 1
39; 2025-02-27 09:04:00; 1
39; 2025-02-27 09:04:04; 2
39; 2025-02-27 09:04:11; 1
39; 2025-02-27 09:04:19; 2
39; 2025-02-27 09:04:31; 2
39; 2025-02-27 09:04:38; 6
39; 2025-02-27 09:04:42; 3
39; 2025-02-27 09:04:45; 2
39; 2025-02-27 09:04:52; 8
