ID; Date; Points
22; 2025-03-05 10:35:54; 2
22; 2025-03-05 10:35:59; 2
22; 2025-03-05 10:36:03; 2
22; 2025-03-05 10:36:06; 1
22; 2025-03-05 10:36:19; 3
22; 2025-03-05 10:36:24; 2
22; 2025-03-05 10:36:29; 2
22; 2025-03-05 10:36:43; 1
22; 2025-03-05 10:36:51; 1
22; 2025-03-05 10:36:53; 2
22; 2025-03-05 10:37:02; 1
22; 2025-03-05 10:37:10; 1
22; 2025-03-05 10:37:14; 2
22; 2025-03-05 10:37:19; 1
22; 2025-03-05 10:37:23; 2
22; 2025-03-05 10:37:31; 2
22; 2025-03-05 10:37:35; 1
22; 2025-03-05 10:37:38; 4
22; 2025-03-05 10:37:56; 2
22; 2025-03-05 10:38:01; 3
22; 2025-03-05 10:38:11; 1
22; 2025-03-05 10:38:19; 1
22; 2025-03-05 10:38:30; 3
22; 2025-03-05 10:38:32; 1
22; 2025-03-05 10:38:36; 6
22; 2025-03-05 10:38:37; 1
22; 2025-03-05 10:38:37; 1
