ID; Date; Success; Distance; Fall Velocity; Pass Time
39; 2025-02-20 18:37:33; False; 0.83; 0.00; 1.50
39; 2025-02-20 18:37:56; False; 0.02; 0.00; 1.50
39; 2025-02-20 18:38:11; False; 0.48; 0.00; 1.50
39; 2025-02-20 18:38:19; False; 0.53; 0.00; 1.50
39; 2025-02-20 18:38:46; False; 1.28; 0.00; 1.50
39; 2025-02-20 18:38:57; True; 1.75; 0.00; 1.50
39; 2025-02-20 18:39:08; False; 0.12; 0.00; 1.50
39; 2025-02-20 18:39:35; False; 0.81; 0.00; 1.50
39; 2025-02-20 18:39:42; False; 0.51; 0.00; 1.50
39; 2025-02-20 18:40:11; False; 0.70; 0.00; 1.50
39; - ;Reset Count; 4
