ID; Date; Points
51; 2025-02-27 09:01:31; 2
51; 2025-02-27 09:01:40; 1
51; 2025-02-27 09:01:51; 2
51; 2025-02-27 09:01:57; 1
51; 2025-02-27 09:02:23; 3
51; 2025-02-27 09:02:26; 1
51; 2025-02-27 09:02:31; 1
51; 2025-02-27 09:02:36; 2
51; 2025-02-27 09:02:47; 1
51; 2025-02-27 09:02:49; 1
51; 2025-02-27 09:02:53; 1
51; 2025-02-27 09:02:57; 2
51; 2025-02-27 09:03:02; 2
51; 2025-02-27 09:03:06; 2
51; 2025-02-27 09:03:16; 2
51; 2025-02-27 09:03:20; 3
51; 2025-02-27 09:03:26; 4
51; 2025-02-27 09:03:28; 2
51; 2025-02-27 09:04:02; 2
