ID; Date; Success; Distance; Fall Velocity; Pass Time
2; 2025-02-26 10:08:51; False; 2.96; 0.00; 1.50
2; 2025-02-26 10:09:01; False; 0.33; 0.00; 1.50
2; 2025-02-26 10:09:08; False; 0.28; 0.00; 1.50
2; 2025-02-26 10:09:18; False; 0.46; 0.00; 1.50
2; 2025-02-26 10:09:24; False; 0.46; 0.00; 1.50
2; 2025-02-26 10:09:32; False; 0.52; 0.00; 1.50
2; 2025-02-26 10:09:39; False; 0.19; 0.00; 1.50
2; 2025-02-26 10:09:53; False; 0.30; 0.00; 1.50
2; 2025-02-26 10:10:00; False; 0.44; 0.00; 1.50
2; 2025-02-26 10:10:13; False; 0.22; 0.00; 1.50
2; 2025-02-26 10:10:25; False; 0.18; 0.00; 1.50
2; 2025-02-26 10:10:35; False; 0.32; 0.00; 1.50
2; 2025-02-26 10:10:44; False; 0.75; 0.00; 1.50
2; 2025-02-26 10:11:04; False; 0.14; 0.00; 1.50
2; 2025-02-26 10:11:12; False; 0.35; 0.00; 1.50
2; 2025-02-26 10:11:21; False; 0.51; 0.00; 1.50
2; 2025-02-26 10:11:33; False; 1.20; 0.00; 1.50
2; - ;Reset Count; 7
