ID; Date; Points
1; 2025-02-12 10:08:27; 1
1; 2025-02-12 10:08:27; 1
1; 2025-02-12 10:08:27; 1
1; 2025-02-12 10:08:27; 2
3; 2025-02-12 10:53:18; 1
3; 2025-02-12 10:53:18; 1
3; 2025-02-12 10:53:18; 1
3; 2025-02-12 10:53:18; 1
3; 2025-02-12 10:53:18; 1
3; 2025-02-12 10:53:18; 1
3; 2025-02-12 10:53:18; 1
3; 2025-02-12 10:53:18; 1
3; 2025-02-12 10:53:18; 1
3; 2025-02-12 10:53:18; 1
3; 2025-02-12 10:53:18; 1
21; 2025-02-12 11:07:10; 1
21; 2025-02-12 11:07:10; 2
21; 2025-02-12 11:07:10; 2
21; 2025-02-12 11:07:10; 1
21; 2025-02-12 11:07:10; 1
21; 2025-02-12 11:07:10; 1
21; 2025-02-12 11:07:10; 1
21; 2025-02-12 11:07:10; 1
21; 2025-02-12 11:07:10; 1
24; 2025-02-12 11:18:12; 2
24; 2025-02-12 11:18:12; 1
24; 2025-02-12 11:18:12; 1
24; 2025-02-12 11:18:12; 1
24; 2025-02-12 11:18:12; 1
24; 2025-02-12 11:18:12; 1
24; 2025-02-12 11:18:12; 1
24; 2025-02-12 11:18:12; 1
24; 2025-02-12 11:18:12; 1
24; 2025-02-12 11:18:12; 1
24; 2025-02-12 11:18:12; 1
24; 2025-02-12 11:18:12; 2
24; 2025-02-12 11:18:12; 1
