ID; Date; Points
16; 2025-02-26 10:23:17; 4
16; 2025-02-26 10:23:21; 2
16; 2025-02-26 10:23:25; 4
16; 2025-02-26 10:23:28; 6
16; 2025-02-26 10:23:30; 5
16; 2025-02-26 10:23:35; 9
16; 2025-02-26 10:23:39; 14
16; 2025-02-26 10:23:56; 11
16; 2025-02-26 10:24:02; 1
16; 2025-02-26 10:24:06; 2
16; 2025-02-26 10:24:10; 1
16; 2025-02-26 10:24:18; 17
16; 2025-02-26 10:24:19; 5
16; 2025-02-26 10:24:19; 2
16; 2025-02-26 10:24:20; 2
16; 2025-02-26 10:24:21; 6
16; 2025-02-26 10:24:22; 1
16; 2025-02-26 10:24:24; 6
16; 2025-02-26 10:24:26; 10
16; 2025-02-26 10:24:26; 1
16; 2025-02-26 10:24:27; 3
16; 2025-02-26 10:24:36; 37
16; 2025-02-26 10:24:49; 26
16; 2025-02-26 10:24:51; 9
16; 2025-02-26 10:24:54; 6
16; 2025-02-26 10:25:01; 2
16; 2025-02-26 10:25:05; 2
16; 2025-02-26 10:25:09; 1
16; 2025-02-26 10:25:13; 2
16; 2025-02-26 10:25:23; 4
16; 2025-02-26 10:25:30; 8
16; 2025-02-26 10:25:35; 2
16; 2025-02-26 10:25:38; 2
16; 2025-02-26 10:25:41; 2
