ID; Date; Points
56; 2025-02-27 09:10:01; 4
56; 2025-02-27 09:10:11; 4
56; 2025-02-27 09:10:16; 2
56; 2025-02-27 09:10:17; 2
56; 2025-02-27 09:10:21; 4
56; 2025-02-27 09:10:29; 1
56; 2025-02-27 09:10:35; 7
56; 2025-02-27 09:10:39; 1
56; 2025-02-27 09:10:47; 3
56; 2025-02-27 09:10:48; 7
56; 2025-02-27 09:10:59; 1
56; 2025-02-27 09:11:18; 1
56; 2025-02-27 09:11:26; 3
56; 2025-02-27 09:11:32; 1
56; 2025-02-27 09:11:47; 2
56; 2025-02-27 09:11:55; 1
56; 2025-02-27 09:12:05; 1
56; 2025-02-27 09:12:13; 1
56; 2025-02-27 09:12:22; 1
56; 2025-02-27 09:12:26; 2
56; 2025-02-27 09:12:36; 6
56; 2025-02-27 09:12:40; 1
